TransactionID,CustomerID,Date,Category,Gender,Age,Location,Quantity,Sales,Profit,Channel
TXN-2024-000838,CUST-0106, 31-May-2024  ,Candles,male,31, Sherbrooke  Quebec ,2,70.7,35.2,Store
TXN-2024-000571,CUST-0170,01/06/2024,Wallflower & Air Freshener,Male,26,Windsor (ON),6,77.78,21.86,Online
TXN-2024-000880,CUST-0260,21-Jan-2024,Men's,Prefer not to say,25,Vancouver (BRITISH COLUMBIA),2,$64.26,22.9,Online
TXN-2024-000262,CUST-0297,06-May-2024,Hand Soap & Sanitizer,F,54,Brandon  Manitoba,3,"17,59",CAD 8.19,Store
TXN-2023-000579,CUST-0149,"Aug 10, 2023",Men's,F,53,SASKATCHEWAN - Saskatoon,2,47.65,10.86,Store
TXN-2023-000024,Cust-0225,2023-12-08,Hand Soap & Sanitizer,Male,33,Kitchener on,1,CAD 4.36,1.78,Online
TXN-2023-000031,CUST-0237,2023-04-09,Hand Soap & Sanitizer,FEMALE,21,Mississauga Ontari,1,$3.63,2.22,Store
TXN-2024-000618,CUST-0247 ,04/10/2024,Body Care,F,35,Victoria / BRITISH COLUMBIA,2,"10,79","3,82",Store
TXN-2024-000011,CUST-0113,2024-10-01,Men's,Male,13,"Sherbrooke, Quebe",3,"91,13",$44.45,Online
TXN-2024-000222,CUST-0226,09/25/2024,Wallflower & Air Freshener,N/A,54,Kitchener  ONTARIO,1, 28.04 CAD ,11.84,Online
TXN-2023-000821,CUST-0207,2023.05.15,Wallflower & Air Freshener,Male,22,"Markham,ON",1,13.57,2.75,Store
TXN-2024-000297,CUST-0153 ,24-May-2024,Body Care,MALE,38,"Toronto,Ontario",1,"17,52",4.68,Online
TXN-2024-000055,CUST-0020,2024.03.30,Hand Soap & Sanitizer,FEMALE,23,Quebec - Longueuil,3,29.51,16.69,Store
TXN-2024-000543,CUST-0083,23-Oct-2024,Hand Soap & Sanitizer,male,18,"Surrey, bc",-1,-4.59,-1.16,Online
TXN-2024-000210,CUST-0230,2024-02-11,Wallflower & Air Freshener,F,51,Saskatoon / Saskatchewan,1,$12.04,6.94,Store
TXN-2023-000605,CUST-0118,08-Dec-2023,Body Care,Female,15,Sherbrooke / QC,1,30.48,11.06,Online
TXN-2023-000693,CUST-0196 ,2023-10-05,Men's,male,34,"Toronto,Ontario",2, 35.83 CAD ,13.29,Store
TXN-2023-000663,CUST-0267,11/26/2023,Men's,FEMALE,46,Toronto (Ontario),1,28.11,$7.10,Store
TXN-2023-000867,CUST-0177,"Aug 26, 2023",Hand Soap & Sanitizer,F,45, Calgary (ALBERTA) ,1,CAD 12.10, 6.17 CAD ,Online
TXN-2024-000071,CUST-0277,06/08/2024,Hand Soap & Sanitizer,N/A,27,"London,on",1,4.2,$1.27,Store
TXN-2024-000544,CUST-0278,01/13/2024,Candles,FEMALE,51,Hamilton / ON,1,19.67,"10,01",Store
TXN-2023-000108,CUST-0085,2023.12.28,Body Care,male,14,Montreal QUEBEC,3,95.21,45.8,Online
TXN-2023-000494,CUST-0115,"Apr 12, 2023",Hand Soap & Sanitizer,male,20, Brampton (Ontario) ,1,11.52,"6,79",Online
TXN-2023-000591,CUST-0133,2023.06.02,Candles,FEMALE,42,"Vancouver, BritishColumbia",6,$272.41,154.34,Store
TXN-2023-000742,CUST-0083 ,2023.05.20,Candles,Female,N/A,Ontario - Kitchener,2,40.87,24.38,Online
TXN-2023-000293,CUST-0024,05/31/2023,Body Care,,44,"Longueuil, Quebec",2,26.84,13.53,Online
TXN-2023-000290,CUST-0060 ,25-Jan-2023,Wallflower & Air Freshener,MALE,58,Vaughan  ON,1,"6,28",2.27,Store
TXN-2024-000653,CUST-0041,18-May-2024,Hand Soap & Sanitizer,Male,22,Quebec City (Quebec),2,41.58,$13.46,Online
TXN-2023-000040,CUST-0235,2023-01-26,Body Care,Male,48,Ottawa (Ontario),2,22.25,5.33,Store
TXN-2023-000590,CUST-0294,05/02/2023,Candles,F,51,Montreal-Quebec,1,14.01,8.89,Store
TXN-2024-000308,CUST-0194,2024-12-13,Hand Soap & Sanitizer,Male,32,Toronto / Ontari,5,CAD 147.91,43.69,Store
TXN-2023-000680,CUST-0316,2023.10.21,Body Care,M,13,Laval Quebec,2,50.66,23.4,Online
TXN-2023-000067,CUST-0128,"Mar 23, 2023",Men's,Female,22,Calgary  Albert,3,60.83,25.83,Store
TXN-2023-000276,CUST-0119,10/05/2023,Men's,U,44,Calgary-Albert,1,CAD 29.34,10.66,Store
TXN-2023-000068,CUST-0305,"Feb 06, 2023",Men's,FEMALE,59,Vaughan  Ontari,4,107.08,$40.64,Online
TXN-2023-000319,CUST-0317 ,18-Feb-2023,Body Care,MALE,28,"London, ON",4,"90,98",43.04,Online
TXN-2023-000549,CUST-0220,2023.12.03,Body Care,male,26,Kitchener-on,4,25.04,$11.89,Online
TXN-2024-000592,cust-0111,2024.06.20,Body Care,MALE ,49, Hamilton  Ontari,2,26.81,13.33,Online
TXN-2023-000715,CUST-0071,04-Nov-2023,Wallflower & Air Freshener,MALE,73,London / Ontario,1,29.9,11.89,Store
TXN-2023-000754,CUST-0172,"May 02, 2023",Men's,M,61,Sydney (Nova Scoti),2,"79,79",26.98,Online
TXN-2023-000328,CUST-0301,24-Oct-2023,Candles,FEMALE,21,Calgary (AB),4,"114,80",70.55,Store
TXN-2024-000383,CUST-0024,15-Jun-2024,Body Care,MALE,47,London ON,1,,$5.03,Store
TXN-2023-000452,CUST-0253,09/12/2023,Wallflower & Air Freshener,FEMALE,41,Saskatoon  SK,3,—,$26.05,Online
TXN-2024-000523,CUST-0269,04-Apr-2024,Body Care,female,48,London Ontario,2,57.77,"29,37",Store
TXN-2023-000219,CUST-0104,26/05/2023,Hand Soap & Sanitizer,F,70,Toronto (Ontario),4,$78.27,26.91,Store
TXN-2023-000788,CUST-0065,2023-02-11,Hand Soap & Sanitizer,F,34,"Quebec City, Quebec",1,CAD 15.61,7.14,Store
TXN-2024-000437,CUST-0120,2024-06-25,Men's,Male,38,Red Deer / Alberta,2,$32.16,11.91,Store
TXN-2023-000765,CUST-0165,21/04/2023,Candles,female,40,Quebec - Sherbrooke,1,CAD 11.22,5.37,Store
TXN-2024-000089,CUST-0195,2024-12-26,Men's,MALE,51, Quebe - Longueuil ,2,$75.47,23.54,Online
TXN-2023-000064,CUST-0076,2023-03-30,Candles,Male,71,Quebec City QUEBEC,2,26.89,$12.86,Store
TXN-2024-000827,CUST-0256,2024-01-24,Hand Soap & Sanitizer,,56,"Vaughan, Ontario",2,21.78,13.3,Online
TXN-2024-000717,CUST-0068,28-Oct-2024,Men's,N/A,69,Richmond / BritishColumbia,1,24.11,14.31,Store
TXN-2024-000352,CUST-0006,04/24/2024,Body Care,Male,23,Kitchener / Ontario,5, 21.22 CAD ,10.22,Store
TXN-2023-000937,CUST-0276,2023-08-25,Body Care,U,51,"Surrey,British Columbia",2,35.73,12.58,Online
TXN-2024-000257,CUST-0188,04/03/2024,Men's,FEMALE,52,"Laval, Quebec",1,19.72,5.37,Store
TXN-2024-000636,CUST-0185,10/24/2024,Hand Soap & Sanitizer,F,17,Laval QUEBEC,2,$25.82,8.66,Online
TXN-2023-000645,CUST-0227,05/04/2023,Hand Soap & Sanitizer,Male,27,"St. John's, NL",1,13.13,4.72,Store
TXN-2024-000555,CUST-0315,2024-10-10,Candles,male,??,Lethbridge Albert,2,16.55,6.78,Store
Txn-2024-000125,CUST-0197,"Apr 04, 2024",Men's,F,74,Brampton  Ontario,3,24.02,11.88,Store
TXN-2023-000169,CUST-0180,2023-09-02,Body Care,female,64,Edmonton / Alberta,2,$39.89,CAD 17.11,Online
TXN-2024-000918,CUST-0160,05/07/2024,Men's,FEMALE,70,"Markham,Ontario",2, 25.44 CAD ,$13.27,Online
TXN-2023-000529,CUST-0286,2023-12-03,Body Care,female,27,Sydney / NovaScotia,1,13.88,$9.18,Store
TXN-2024-000824,CUST-0091,"Jan 10, 2024",Candles,Male,68," Sherbrooke,Quebec ",1,52.53,CAD 18.58,Store
TXN-2023-000407,CUST-0060,17-Apr-2023,Men's,F,70,"Ottawa, ON",2,"31,64",13.7,Store
TXN-2024-000817,CUST-0056,2024.02.23,Wallflower & Air Freshener,FEMALE,35,Mississauga on,2,34.19,CAD 15.13,Store
TXN-2024-000087,CUST-0139,"Dec 15, 2024",Men's,MALE,42,Sherbrooke (Quebe),1,30.43,11.48,Online
TXN-2024-000433,CUST-0045,"Aug 10, 2024",Body Care,Male,51, Lethbridge / ALBERTA ,5,72.21,"38,23",Online
TXN-2023-000185,CUST-0262, 2023.06.24  ,Body Care,N/A,65,Albert - Edmonton,3,56.12,$20.67,Store
TXN-2024-000251,CUST-0255,2024-11-02,Hand Soap & Sanitizer,FEMALE,37,Gatineau  Qu3b3c,1,4.48,1.65,Store
TXN-2024-000535,CUST-0064,"Jul 24, 2024",Men's,Male,66,"Vancouver, BRITISH COLUMBIA",2,15.89,6.38,Online
TXN-2023-000295,CUST-0196,"Dec 19, 2023",Hand Soap & Sanitizer,FEMALE,16,Kitchener-ON,2,$42.60, 16.24 CAD ,Online
TXN-2024-000893,CUST-0238,2024-08-31,Men's,F,57,Markham (on),1,8.25,$3.78,Store
TXN-2024-000426,CUST-0232,2024-08-30,Wallflower & Air Freshener,U,66,Toronto-ON,1,22.65,7.02,Store
TXN-2023-000714,CUST-0199,2023.08.11,Hand Soap & Sanitizer,female,52, Calgary-ab ,1,14.5,6.17,Store
TXN-2024-000261,CUST-0057,2024.05.07,Hand Soap & Sanitizer,female,59,"Burnaby, British Columbi",2,CAD 25.58,CAD 7.01,Online
TXN-2023-000238,CUST-0066,21/04/2023,Hand Soap & Sanitizer,FEMALE,63,"Vaughan, Ontario",1,$13.61,6.78,Store
TXN-2023-000560,CUST-0020,2023-06-07,Hand Soap & Sanitizer,M,28,Sherbrooke (qc),2,18.62,8.42,Store
TXN-2024-000584,CUST-0135,"Aug 12, 2024",Hand Soap & Sanitizer,MALE,65,Vaughan Ontario,1,2.92,1.76,Store
TXN-2024-000446,CUST-0288,26/01/2024,Candles,N/A,43, Regina (SASKATCHEWAN) ,1,$36.55,13.52,Online
TXN-2024-000868,CUST-0189,14/01/2024,Men's,FEMALE,53,Lethbridge AB,2,$13.68,3.85,Store
TXN-2023-000801,CUST-0303,03-Oct-2023,Candles,MALE,29,Victoria-British Columbia,1,9.8,4.07,Store
TXN-2023-000600,CUST-0296,2023.10.13,Body Care,,60,Montreal / QUEBEC,1,17.06, 6.15 CAD ,Store
TXN-2024-000850,CUST-0100 ,08/07/2024,Wallflower & Air Freshener,Female,75,Mississauga-Ontario,4,99.43, 28.53 CAD ,Online
TXN-2024-000266,CUST-0288,18-Dec-2024,Candles,MALE,??,Vaughan-Ontario,1,33.66,15.89,Online
TXN-2023-000473,cust-0138,2023-09-17,Wallflower & Air Freshener,male ,19, Halifax (Nova Scoti),1, 14.16 CAD ,CAD 6.68,Online
TXN-2023-000530,CUST-0187,04/07/2023,Hand Soap & Sanitizer,FEMALE,44,Markham  Ontario,2,CAD 8.47,4.21,Store
TXN-2023-000056,CUST-0262,"Apr 08, 2023",Men's,Female,14," Gatineau, Quebec ",5,$64.98,26.48,Store
TXN-2024-000121,CUST-0242,"Sep 10, 2024",Wallflower & Air Freshener,N/A,??,Kitchener-on,2,$62.83,33.57,Store
TXN-2024-000216,CUST-0192,30-Nov-2024,Wallflower & Air Freshener,F,68, Vancouver British Columbia ,3,37.16,$17.01,Online
TXN-2023-000026,CUST-0035,06/14/2023,Candles,F,22,Toronto / Ontario,2,105.45,49.12,Store
TXN-2024-000073,CUST-0106 ,"Feb 29, 2024",Body Care,M,25,"Kitchener,Ontari",1,6.35,1.93,Online
TXN-2024-000045,CUST-0142,2024-10-09,Wallflower & Air Freshener,Prefer not to say,20,Ottawa-Ontari,1,$19.08,"10,60",Store
TXN-2024-000248,CUST-0239 ,03/04/2024,Candles,MALE,47,Red Deer-ab,3,102.93,38.0,Store
TXN-2024-000722,CUST-0314,2024.04.21,Men's,Male,26,"Longueuil, qc",1,35.18,N/A,Store
TXN-2023-000282,CUST-0045,09-May-2023,Hand Soap & Sanitizer,F,38,Vaughan-0n,1,11.16,4.33,Online
TXN-2024-000894,CUST-0064,"Aug 01, 2024",Wallflower & Air Freshener,Male,70,Laval / QUEBEC,4,58.47,25.28,Online
TXN-2024-000915,CUST-0195,26/01/2024,Hand Soap & Sanitizer,Female,20,Mississauga ONTARIO,1,13.58,$4.12,Online
TXN-2024-000811,CUST-0113,05/17/2024,Hand Soap & Sanitizer,Female,52,"Sydney, NS",4,CAD 10.09,CAD 3.81,Online
TXN-2023-000245,CUST-0153,2023-02-08,Wallflower & Air Freshener,F,36,Sherbrooke  qc,1,13.55, 4.32 CAD ,Online
TXN-2023-000823,CUST-0274,2023-05-07,Hand Soap & Sanitizer,U,41,St. John's (Newfoundland and Labrado),2,10.14, 2.72 CAD ,Online
TXN-2023-000322,CUST-0318,03/14/2023,Candles,female,14,"Brampton,Ontari",6, 332.85 CAD ,$126.37,Online
TXN-2023-000644,CUST-0317,2023-02-18,Hand Soap & Sanitizer,FEMALE,74,Ottawa / Ontario,3,45.36,23.44,Store
TXN-2023-000159,CUST-0155,29-Sep-2023,Men's,F,56,Kelowna  BC,1, 18.81 CAD , 9.07 CAD ,Online
TXN-2024-000029,CUST-0028,2024-01-08,Wallflower & Air Freshener,FEMALE,40,Ontario - Kitchener,1,15.14, 3.62 CAD ,Store
TXN-2023-000430,CUST-0222 ,"Jan 31, 2023",Men's,M,28,"Quebec City,QUEBEC",3,120.81,$46.17,Online
TXN-2024-000942,CUST-0153,05/08/2024,Body Care,F,34, Brandon Manitoba ,1,"9,14",2.28,Online
TXN-2024-000463,CUST-0138,22/11/2024,Candles,F,74,QC - Laval,3,CAD 53.52,CAD 32.19,Store
TXN-2024-000310,Cust-0125,"May 12, 2024",Wallflower & Air Freshener,Female,68, Quebec - Sherbrooke ,2,$18.96,10.25,Store
TXN-2023-000698,CUST-0205,10-Jun-2023,Body Care,Male,38,Brandon-Manitob,1,$23.59,10.41,Online
TXN-2024-000061,CUST-0108,2024-02-30,Hand Soap & Sanitizer,male,62,Hamilton  ONTARIO,1,14.22,3.81,Online
TXN-2023-000885,CUST-0100,09/23/2023,Wallflower & Air Freshener,M,18,Ontario - Vaughan,3,$11.59,5.64,Online
TXN-2023-000596,CUST-0020, 2023-01-28  ,Men's,MALE,27,Longueuil-Quebec,2,CAD 92.74,24.97,Store
TXN-2023-000768,CUST-0146,12/07/2023,Candles,F,28,Quebec - Laval,1,—,N/A,Store
TXN-2024-000650,CUST-0241,05-Aug-2024,Hand Soap & Sanitizer,MALE,N/A,"Red Deer, Alberta",2, 11.07 CAD ,CAD 4.05,Store
TXN-2024-000651,CUST-0306,2024-11-13,Hand Soap & Sanitizer,male,58,"Gatineau,qc",2,11.27,$3.98,Store
TXN-2023-000866,CUST-0165,02/07/2023,Candles,MALE,13," Kelowna, British Columbia ",1,"34,31",15.79,Online
TXN-2024-000669,CUST-0099,19-Aug-2024,Wallflower & Air Freshener,MALE,17, Red Deer-Alberta ,1,9.32,3.6,Store
TXN-2023-000299,CUST-0315,21/03/2023,Wallflower & Air Freshener,Male,33,Montreal QC,2,29.15,CAD 13.18,Store
TXN-2024-000690,CUST-0071,10/09/2024,Candles,Male,70,Laval (qc),1,34.59,15.64,Online
TXN-2023-000315,CUST-0292,"Oct 16, 2023",Wallflower & Air Freshener,male,66,Quebec City  Quebec,2,10.86,$4.81,Store
TXN-2024-000311,CUST-0239,12/23/2024,Wallflower & Air Freshener,female,56, Quebec - Laval ,2,$30.39,7.91,Online
TXN-2023-000362,CUST-0313,2023.11.29,Wallflower & Air Freshener,M,21,British Columbia - Victoria,1,$21.57,5.61,Online
TXN-2023-000480,CUST-0251,25/02/2023,Hand Soap & Sanitizer,FEMALE,59, BritishColumbia - Surrey ,1,15.18,5.16,Online
TXN-2023-000111,CUST-0301,08-Jun-2023,Men's,female,61," Brampton, Ontario ",1,27.77,9.39,Store
TXN-2024-000884,CUST-0012,2024.05.29,Candles,FEMALE,21,Laval Quebec,2,54.5,28.76,Store
TXN-2023-000487,CUST-0056,2023-02-30,Hand Soap & Sanitizer,F,71,Brandon (Manit0ba),1,9.13,3.76,Online
TXN-2023-000364,CUST-0157 ,26/08/2023,Candles,female,65,Montreal-Quebec,1,25.47,12.82,Store
TXN-2024-000255,CUST-0148,"Apr 10, 2024",Men's,MALE,61,London (Ontari),3,46.58,19.4,Store
TXN-2024-000260,CUST-0273,14-Oct-2024,Men's,female,67,"Victoria, BRITISH COLUMBIA",1,32.93,17.39,Online
TXN-2024-000803,CUST-0254,"Dec 07, 2024",Candles,Female,66,Victoria  British Columbia,2,"90,23",CAD 21.74,Online
TXN-2023-000678,CUST-0270, 2023-09-03  ,Wallflower & Air Freshener,Prefer not to say,68,Sherbrooke qc,2,20.11,7.21,Online
TXN-2023-000495,CUST-0238,"Oct 19, 2023",Hand Soap & Sanitizer,F,20,Windsor Ontari,2,N/A,4.29,Store
TXN-2023-000671,CUST-0096,03/11/2023,Men's,MALE,28,Brampton-Ontario,2,$61.81,CAD 37.47,Online
TXN-2024-000378,CUST-0251,2024.02.19,Wallflower & Air Freshener,female,32,"Surrey,British Columbia",1,13.48,4.38,Store
TXN-2023-000527,CUST-0041,"Dec 15, 2023",Candles,MALE,66,Gatineau  QC,3,CAD 139.51, 81.01 CAD ,Online
TXN-2023-000846,CUST-0167,21/07/2023,Men's,male,45,Victoria bc,1,20.43,11.84,Online
TXN-2024-000138,CUST-0152,11-Jan-2024,Hand Soap & Sanitizer,MALE,70,"Fredericton, New Brunswick",2,11.48,"4,64",Store
TXN-2023-000356,CUST-0035,2023-02-08,Hand Soap & Sanitizer,,53,ON - Markham,1,2.22,"0,45",Online
TXN-2023-000366,CUST-0089,"Mar 27, 2023",Men's,male,32,Richmond-bc,1,19.81, 6.96 CAD ,Store
TXN-2023-000943,CUST-0140,2023.09.27,Hand Soap & Sanitizer,MALE,46,Windsor / ONTARIO,1, 10.91 CAD ,3.17,Store
TXN-2023-000750,CUST-0171,2023.09.23,Body Care,Male,71,Sydney / NS,3,28.19,CAD 10.40,Online
TXN-2023-000949,CUST-0083,9/16/2023,Hand Soap & Sanitizer,Male,66,Burnaby / BRITISH COLUMBIA,1,$13.44, 6.02 CAD ,Online
TXN-2023-000830,CUST-0024,7/12/2023,Men's,N/A,17, Gatineau-QC ,1,15.3,7.34,Store
TXN-2023-000657,CUST-0005,2023-05-23,Wallflower & Air Freshener,Female,40,Mississauga  ON,4, 30.68 CAD ,12.43,Store
TXN-2023-000200,CUST-0260,21-Sep-2023,Body Care,male,70,Sydney-Nova Scoti,2,16.23,3.68,Store
TXN-2024-000214,CUST-0001,26/12/2024,Wallflower & Air Freshener,FEMALE,56,Hamilton on,1, 8.98 CAD ,CAD 3.89,Online
TXN-2023-000409,CUST-0115,09/04/2023,Wallflower & Air Freshener,MALE,50,Ontario - Vaughan,2,44.47,19.21,Online
TXN-2024-000333,CUST-0317,09/07/2024,Body Care,F,20,Brandon (MB),1,$10.50,5.61,Online
TXN-2023-000209,CUST-0172,08/04/2023,Body Care,F,43,London  Ontario,1,$15.26,6.54,Store
TXN-2024-000614,CUST-0116,"Aug 14, 2024",Hand Soap & Sanitizer,MALE,27,"Laval, Quebec",3,58.12,20.5,Store
TXN-2023-000079,CUST-0241,14-Jan-2023,Body Care,F,N/A,Laval qc,1,22.63,6.97,Store
TXN-2023-000030,CUST-0099,2023.09.13,Candles,FEMALE,37,"Montreal,qc",4,CAD 51.30,26.87,Store
TXN-2023-000536,CUST-0284,2023.10.06,Body Care,FEMALE,22,Fredericton-NewBrunswick,1,$21.87,9.59,Online
Txn-2023-000696,CUST-0305,05/11/2023,Wallflower & Air Freshener,U,N/A," Kitchener,Ontari ",3,$109.58,56.94,Store
TXN-2024-000558,CUST-0108,9/9/2024,Body Care,MALE,50,Kelowna British Columbi,1,14.9,7.77,Store
TXN-2024-000837,CUST-0092,25-Mar-2024,Body Care,female,63,Toronto  ONTARIO,1,"11,52",3.16,Store
TXN-2024-000597,CUST-0268,05/13/2024,Wallflower & Air Freshener,F,31,"Halifax,Nova Scotia",2,$52.23,17.18,Online
TXN-2023-000166,CUST-0050,31/07/2023,Wallflower & Air Freshener,M,74,Ontario - Ottawa,1,18.12,9.09,Online
TXN-2023-000919,CUST-0244,18/08/2023,Body Care,M,70, Edmonton  Alberta ,1,16.64,8.65,Online
TXN-2023-000496,CUST-0062,2023.02.12,Men's,female,14,"Brampton, ONTARIO",2,$57.34,CAD 13.14,Online
TXN-2024-000825,CUST-0250,5/14/2024,Hand Soap & Sanitizer,MALE,65,Ottawa / Ontario,1,$17.74,4.43,Store
TXN-2023-000066,CUST-0003,"Apr 02, 2023",Candles,N/A,35,Edmonton  ab,3,104.84,"53,02",Store
TXN-2024-000142,CUST-0068,2024.06.07,Candles,male,69,Moncton-New Brunswic,4,"133,74",51.53,Online
TXN-2024-000926,CUST-0079,2024.08.20,Hand Soap & Sanitizer,F,62,Victoria British Columbi,1,7.62, 2.90 CAD ,Online
TXN-2023-000828,CUST-0208,24/03/2023,Body Care,U,70,Laval-Quebec,1,23.7, 9.37 CAD ,Store
TXN-2024-000656,CUST-0026,25/06/2024,Candles,F,17,Toronto (Ontario),1,54.64,23.3,Store
TXN-2023-000332,CUST-0117,2023.10.13,Wallflower & Air Freshener,FEMALE,51,Markham-ONTARIO,1,$17.28,7.53,Online
